col_name,yn,date_time,number,integer,bunho,email,url,part_num,part_text,part_discriminator,part_mask,part_minus,len_purity,value_nunique,value_distr,datatype,BUNHO,NALJJA,MYEONG,JUSO,YEOBU,CODE,ID,SURYANG,GEUMAEK,NAEYOUNG,YUL,ETC,domain
SPEC_TRTM2,0.195,0.0,0.403,0.403,0.486,0.0,0.0,0.403,0.083,0.0,0.0,0.0,1.0,14,3.3358243602247164,object,0,0,0,0,0,0,0,0,0,0,0,1,코드
CITYAUTH_CD,0.189,0.0,0.488,0.488,0.488,0.0,0.0,0.488,0.0,0.0,0.0,0.0,1.0,13,3.3103180175603977,object,0,0,0,0,0,1,0,0,0,0,0,0,코드
TRNSMIS_SN,0.199,0.0,0.199,0.199,0.199,0.0,0.0,0.199,0.0,0.0,0.0,0.0,1.0,4,1.924551244977284,object,1,0,0,0,0,0,0,0,0,0,0,0,수량
RSLT_RAW_SEQ,0.297,0.0,0.625,0.625,0.625,0.0,0.0,0.625,0.0,0.0,0.0,0.0,1.0,13,3.200757595944804,object,0,0,0,0,0,0,0,0,0,0,0,1,번호
SCL_CPC,0.131,0.0,0.222,0.222,0.332,0.0,0.0,0.222,0.11,0.0,0.0,0.0,1.0,12,3.0380189350040894,object,0,0,0,0,0,0,0,0,0,0,0,1,수량
ADDR3,0.0,0.0,0.0,0.0,0.444,0.0,0.0,0.0,0.444,0.0,0.0,0.0,1.0,16,3.5277362295901,object,0,0,0,0,0,0,0,0,0,0,0,1,
WSM_DOR_ONC_CD,0.18,0.0,0.18,0.18,0.378,0.0,0.0,0.18,0.198,0.0,0.0,0.0,1.0,10,2.9962015748776185,object,0,0,0,0,0,1,0,0,0,0,0,0,코드
TRNSMIS_YN,0.0,0.0,0.0,0.0,0.194,0.0,0.0,0.0,0.194,0.0,0.0,0.0,1.0,7,2.526287498869212,object,0,0,0,0,1,0,0,0,0,0,0,0,여부
EMIS_CONS_EDATE,0.388,0.0,0.587,0.587,0.587,0.0,0.0,0.587,0.0,0.189,0.0,0.0,1.0,14,3.1088996471481396,object,0,0,0,0,0,0,0,0,0,0,0,1,날짜
POST_NO,0.066,0.0,0.48,0.48,0.55,0.0,0.0,0.48,0.07,0.014,0.0,0.0,1.0,19,3.7677596786492193,object,1,0,0,0,0,0,0,0,0,0,0,0,번호
WTSR_RSLT_GB_L,0.054,0.0,0.101,0.101,0.635,0.0,0.0,0.101,0.534,0.0,0.0,0.0,1.0,20,3.988956704450043,object,0,0,0,0,0,0,0,0,0,0,0,1,코드
ENTRPS_CD,0.345,0.0,0.688,0.688,0.688,0.0,0.0,0.688,0.0,0.0,0.0,0.0,1.0,15,3.444919782969791,object,0,0,0,0,0,1,0,0,0,0,0,0,번호
SEQ,0.052,0.0,0.202,0.202,0.202,0.0,0.0,0.202,0.0,0.0,0.0,0.0,1.0,10,2.6587992765289674,object,0,0,0,0,0,0,0,0,0,0,0,1,수량
LAST_LOGIN_IP,0.197,0.0,0.548,0.548,0.599,0.0,0.0,0.548,0.051,0.154,0.0,0.0,1.0,17,3.6320366527169177,object,0,0,0,0,0,0,0,0,0,0,0,1,번호
MSR_WK,0.04,0.0,0.186,0.186,0.186,0.0,0.0,0.186,0.0,0.0,0.0,0.0,1.0,10,2.6767896142581487,object,0,0,0,0,0,0,0,0,0,0,0,1,번호
BFO_CERTFORM_INFO,0.108,0.0,0.217,0.217,0.448,0.0,0.0,0.217,0.231,0.0,0.0,0.0,1.0,14,3.3360338194392214,object,0,0,0,0,0,0,0,0,0,0,0,1,
TS_CMPY_ID,0.337,0.0,0.687,0.687,0.687,0.0,0.0,0.687,0.0,0.0,0.0,0.0,1.0,14,3.3784810467738,object,0,0,0,0,0,0,1,0,0,0,0,0,번호
IDF_RGSNO,0.566,0.0,0.62,0.62,0.729,0.0,0.0,0.62,0.109,0.0,0.0,0.0,1.0,13,2.57889298959848,object,1,0,0,0,0,0,0,0,0,0,0,0,번호
OPR_BG_DT,0.184,0.0,0.41,0.41,0.502,0.0,0.0,0.41,0.092,0.0,0.0,0.0,1.0,15,3.426175797810691,object,0,1,0,0,0,0,0,0,0,0,0,0,날짜
OBSTACLE_LEVEL,0.0,0.0,0.207,0.207,0.207,0.0,0.0,0.207,0.0,0.0,0.0,0.0,1.0,4,1.929417705785648,object,0,0,0,0,0,0,0,0,0,0,0,1,코드
EMIS_GIVE_QUNT_UNIT,0.139,0.0,0.214,0.214,0.368,0.0,0.0,0.214,0.154,0.0,0.0,0.0,1.0,12,3.1058439102621667,object,0,0,0,0,0,0,0,0,0,0,0,1,수량
UPDT_DATE,0.218,0.0,0.531,0.531,0.586,0.0,0.0,0.531,0.055,0.177,0.0,0.0,1.0,19,3.8474724878413786,object,0,0,0,0,0,0,0,0,0,0,0,1,날짜
FYER_SELNG_AMT_CD,0.267,0.0,0.493,0.493,0.579,0.0,0.0,0.493,0.086,0.0,0.0,0.0,1.0,14,3.3896990845192834,object,0,0,0,0,0,1,0,0,0,0,0,0,코드
NOTICE_END_DT,0.394,0.0,0.572,0.572,0.613,0.0,0.0,0.572,0.041,0.137,0.0,0.0,1.0,16,3.2689757087991267,object,0,1,0,0,0,0,0,0,0,0,0,0,날짜
UPT_DT,0.301,0.0,0.658,0.658,0.658,0.0,0.0,0.658,0.0,0.0,0.0,0.0,1.0,14,3.3389460620608205,object,0,1,0,0,0,0,0,0,0,0,0,0,날짜
CERTFORM_INFO,0.13,0.0,0.228,0.228,0.455,0.0,0.0,0.228,0.227,0.0,0.0,0.0,1.0,16,3.279588644451916,object,0,0,0,0,0,0,0,0,0,0,0,1,코드
CNTC_CMPY_ID,0.252,0.0,0.606,0.606,0.668,0.0,0.0,0.606,0.062,0.0,0.0,0.0,1.0,18,3.8066848312105197,object,0,0,0,0,0,0,1,0,0,0,0,0,번호
STA_ASIS_NO,0.244,0.0,0.318,0.318,0.459,0.0,0.0,0.318,0.141,0.0,0.0,0.0,1.0,13,3.1552679571896487,object,1,0,0,0,0,0,0,0,0,0,0,0,번호
ERR_CD,0.264,0.0,0.371,0.371,0.508,0.0,0.0,0.371,0.137,0.0,0.0,0.0,1.0,12,3.1407209486350425,object,0,0,0,0,0,1,0,0,0,0,0,0,코드
LQFT_SEQ_NO,0.494,0.0,0.713,0.713,0.713,0.0,0.0,0.713,0.0,0.0,0.0,0.0,1.0,11,2.3714298617124903,object,1,0,0,0,0,0,0,0,0,0,0,0,번호
CRTFCT_KND,0.0,0.0,0.0,0.0,0.365,0.0,0.0,0.0,0.365,0.0,0.0,0.0,1.0,11,3.0678946382559156,object,0,0,0,0,0,0,0,0,0,0,0,1,번호
TEL_NO,0.322,0.0,0.621,0.621,0.679,0.0,0.0,0.621,0.058,0.0,0.0,0.0,1.0,16,3.3384349961096023,object,1,0,0,0,0,0,0,0,0,0,0,0,번호
LSTK_EXCT_CD,0.219,0.0,0.352,0.352,0.352,0.0,0.0,0.352,0.0,0.0,0.0,0.0,1.0,10,2.8776790829812806,object,0,0,0,0,0,1,0,0,0,0,0,0,코드
