iter	Passed	Remaining
911	22599	2180
912	22618	2155
913	22648	2131
914	22670	2106
915	22700	2081
916	22728	2057
917	22765	2033
918	22804	2009
919	22831	1985
920	22860	1960
921	22885	1936
922	22910	1911
923	22937	1886
924	22967	1862
925	22995	1837
926	23020	1812
927	23049	1788
928	23085	1764
929	23114	1739
930	23146	1715
931	23179	1691
932	23210	1666
933	23237	1642
934	23267	1617
935	23294	1592
936	23314	1567
937	23333	1542
938	23363	1517
939	23393	1493
940	23414	1468
941	23435	1442
942	23455	1417
943	23478	1392
944	23498	1367
945	23517	1342
946	23546	1317
947	23569	1292
948	23591	1267
949	23611	1242
950	23635	1217
951	23662	1193
952	23691	1168
953	23713	1143
954	23736	1118
955	23768	1093
956	23795	1069
957	23814	1044
958	23835	1019
959	23859	994
960	23881	969
961	23905	944
962	23926	919
963	23947	894
964	23969	869
965	23992	844
966	24021	819
967	24043	794
968	24072	770
969	24094	745
970	24115	720
971	24140	695
972	24170	670
973	24191	645
974	24223	621
975	24255	596
976	24275	571
977	24301	546
978	24321	521
979	24343	496
980	24366	471
981	24388	447
982	24411	422
983	24432	397
984	24454	372
985	24474	347
986	24497	322
987	24520	297
988	24540	272
989	24558	248
990	24578	223
991	24598	198
992	24618	173
993	24638	148
994	24656	123
995	24675	99
996	24693	74
997	24711	49
998	24738	24
999	24763	0
